이타, 63, 192
뱅타, 76, 199
영아, 40, 188
뱅타, 47, 163
그뱅, 69, 170
오영, 64, 167
아영, 87, 182
오영, 89, 154
뱅그, 58, 163
타이, 64, 181
아뱅, 81, 170
영아, 78, 172
아영, 78, 183
영그, 75, 171
이영, 63, 172
영뱅, 88, 168
영영, 66, 174
영영, 71, 162
그이, 88, 156
영뱅, 60, 180
타오, 53, 172
영영, 47, 195
아뱅, 71, 162
타영, 65, 164
뱅영, 74, 185
이그, 43, 198
타아, 83, 185
이이, 57, 185
영영, 66, 180
그이, 82, 169
이이, 63, 187
아그, 60, 171
영아, 88, 185
영영, 57, 156
타영, 78, 176
타타, 97, 185
이아, 74, 167
그타, 93, 180
이영, 67, 193
영영, 45, 155
이뱅, 84, 153
영뱅, 84, 171
영이, 47, 159
그뱅, 78, 165
그뱅, 45, 154
그타, 84, 160
그뱅, 82, 197
영영, 94, 172
뱅이, 67, 151
아영, 68, 164
타영, 58, 173
그아, 71, 160
타뱅, 51, 192
오영, 90, 176
그영, 97, 167
아타, 48, 168
아오, 55, 162
이아, 60, 197
아타, 51, 168
영이, 64, 185
오오, 55, 179
아오, 74, 155
뱅영, 90, 158
그타, 92, 192
타아, 95, 171
아아, 92, 192
이영, 53, 161
그이, 86, 180
그영, 91, 180
그영, 59, 198
이이, 62, 199
영영, 60, 193
영그, 85, 162
영아, 81, 198
아오, 49, 178
타뱅, 56, 195
뱅이, 55, 171
이오, 50, 165
아영, 82, 182
영타, 78, 170
그이, 56, 199
영오, 99, 161
이영, 45, 179
그영, 87, 150
타이, 67, 160
뱅영, 51, 190
타영, 63, 184
오그, 49, 195
이이, 98, 172
타그, 85, 174
타영, 51, 154
오타, 73, 175
영뱅, 76, 157
뱅타, 53, 166
뱅이, 96, 174
영타, 43, 175
영타, 79, 151
오영, 96, 190
영오, 48, 163
영그, 77, 152
영뱅, 84, 170
이오, 82, 151
이그, 57, 186
아오, 44, 156
타타, 95, 183
영이, 55, 192
뱅아, 85, 187
영영, 44, 157
타영, 93, 173
아영, 76, 177
이아, 82, 193
그타, 71, 186
타영, 47, 167
영영, 97, 192
뱅뱅, 54, 187
타아, 51, 179
영오, 62, 194
오영, 62, 179
아타, 80, 182
그영, 68, 186
타이, 91, 186
오그, 76, 152
영영, 49, 153
영뱅, 75, 163
영영, 87, 199
타이, 81, 155
타그, 79, 159
뱅아, 62, 197
타영, 90, 177
그타, 91, 180
영뱅, 40, 158
아뱅, 72, 182
뱅이, 46, 191
영영, 60, 182
뱅오, 51, 171
그이, 62, 152
뱅영, 78, 171
아이, 81, 159
